case,group_calib,land_use,soc_t_ha,delta_soc_t_ha_y,latitude,longitude,enz,enz_name,BroadClass_maps,sand_pct,silt_pct,clay_pct,years_treatment,soil_sampling_cm
276,amendment,PERENNIAL,39.3,0.80,42.5614,-2.3117,9,LUS,Cfb,NA,NA,NA,13,0-30
277,amendment,PERENNIAL,40.36,0.89,42.5614,-2.3117,9,LUS,Cfb,NA,NA,NA,13,0-30
208,amendment,PERENNIAL,NA,6.99,43.1833333,12.93333333,11,MDM,Cfa,41,34,25,8,0-20
220,amendment,ANNUAL,NA,1.26,45.12435,9.831542,12,MDN,Cfa,53.1,34.9,12,4,0-30
288,amendment,PERENNIAL,NA,1.75,44.3640607,12.0590095,12,MDN,Cfa,7,67,26,14,0-30
289,amendment,PERENNIAL,NA,0.48,44.3640607,12.0590095,12,MDN,Cfa,7,67,26,14,0-30
278,amendment,PERENNIAL,43.3,1.11,42.5614,-2.3117,9,LUS,Cfb,NA,NA,NA,13,0-30
212,amendment,ANNUAL,NA,0.40,45.35,11.96666667,12,MDN,Cfa,47,38,15,40,0-25
214,amendment,ANNUAL,NA,0.58,45.35,11.96666667,12,MDN,Cfa,47,38,15,25,0-30
215,amendment,ANNUAL,NA,0.45,45.35,11.96666667,12,MDN,Cfa,47,38,15,25,0-30
253,amendment,ANNUAL,NA,1.35,39.4983333,-0.331666667,13,MDS,BSk,34,NA,NA,20,0-30
261,amendment,ANNUAL,NA,0.27,45.35,11.96666667,12,MDN,Cfa,28.6,51,20.4,43,0-30
265,amendment,ANNUAL,NA,0.22,45.35,11.96666667,12,MDN,Cfa,28.6,51,20.4,43,0-30
209,amendment,PERENNIAL,NA,0.33,43.1833333,12.93333333,11,MDM,Cfa,41,34,25,8,0-20
263,amendment,ANNUAL,NA,0.06,45.35,11.96666667,12,MDN,Cfa,28.6,51,20.4,43,0-30
19,covercrop,ANNUAL,70,0.70,45.0956313,9.45097,12,MDN,Cfa,NA,NA,NA,7.5,0-30
20,covercrop,ANNUAL,70,0.45,45.0956313,9.45097,12,MDN,Cfa,NA,NA,NA,15,0-30
88,covercrop,ANNUAL,NA,0.32,45.1876713,10.104901,12,MDN,Cfa,NA,NA,NA,3,0-30
90,covercrop,ANNUAL,NA,0.34,44.4,10.31666667,11,MDM,Dfb,44.3,40.2,15.5,15,0-30
91,covercrop,ANNUAL,NA,0.32,44.4,10.31666667,11,MDM,Dfb,44.3,40.2,15.5,15,0-30
92,covercrop,ANNUAL,NA,0.08,44.4,10.31666667,11,MDM,Dfb,44.3,40.2,15.5,15,0-30
96,covercrop,ANNUAL,NA,0.94,45.12435,9.831542,12,MDN,Cfa,53.1,34.9,12,4,0-30
97,covercrop,ANNUAL,NA,0.47,45.12435,9.831542,12,MDN,Cfa,53.1,34.9,12,4,0-30
99,covercrop,ANNUAL,NA,0.24,40.05,-3.516666667,13,MDS,BSk,NA,NA,NA,4,0-22
110,covercrop,ANNUAL,NA,0.21,40.05,-3.516666667,13,MDS,BSk,NA,NA,NA,10,0-20
111,covercrop,ANNUAL,NA,0.18,40.05,-3.516666667,13,MDS,BSk,NA,NA,NA,10,0-20
112,covercrop,ANNUAL,NA,0.19,40.05,-3.516666667,13,MDS,BSk,NA,NA,NA,100,0-30
113,covercrop,ANNUAL,NA,0.14,40.05,-3.516666667,13,MDS,BSk,NA,NA,NA,100,0-30
118,covercrop,ANNUAL,NA,0.80,40.6166667,14.96666667,12,MDN,Csa,46.5,22.3,31.2,3,0-30
124,covercrop,ANNUAL,NA,2.70,42.89695,13.793892,12,MDN,Cfa,NA,NA,NA,1,0-30
125,covercrop,ANNUAL,NA,2.00,42.89695,13.793892,12,MDN,Cfa,NA,NA,NA,1,0-30
126,covercrop,PERENNIAL,91,0.64,41.0414078,16.7486991,12,MDN,BSk,31,30,39,35,0-40
144,covercrop,PERENNIAL,52.31,4.85,42.358158,-1.602152,12,MDN,BSk,47,31,32,2,0-30
516,covercrop,PERENNIAL,NA,1.59,36.55102,-4.6858685,13,MDS,Csa,NA,NA,NA,1,0-30
517,covercrop,PERENNIAL,NA,1.87,37.5741217,-3.5080263,12,MDN,Csa,NA,NA,NA,1,0-30
518,covercrop,PERENNIAL,NA,0.76,37.5951304,-4.7342147,13,MDS,Csa,NA,NA,NA,1,0-30
154,covercrop_amendment,ANNUAL,NA,3.20,42.8833333,13.8,12,MDN,Cfa,NA,NA,NA,1,0-30
155,covercrop_amendment,ANNUAL,NA,8.00,42.8833333,13.8,12,MDN,Cfa,NA,NA,NA,1,0-30
156,covercrop_amendment,ANNUAL,NA,2.10,42.8833333,13.8,12,MDN,Cfa,NA,NA,NA,1,0-30
157,covercrop_amendment,ANNUAL,NA,2.60,42.8833333,13.8,12,MDN,Cfa,NA,NA,NA,1,0-30
15,covercrop_cropresid,ANNUAL,NA,0.00,45.2613104,9.4916781,12,MDN,Cfa,NA,NA,50,10,0-30
16,covercrop_cropresid,ANNUAL,73.9,2.00,45.1946355,9.1785977,12,MDN,Cfa,NA,NA,50,10,0-30
17,covercrop_cropresid,ANNUAL,NA,0.77,45.0956313,9.45097,12,MDN,Cfa,NA,NA,18080,4,0-30
18,covercrop_cropresid,ANNUAL,NA,1.02,45.0956313,9.45097,12,MDN,Cfa,NA,NA,18080,9,0-30
545,covercrop_pruning,PERENNIAL,51.06,1.25,42.47964,-1.65183,12,MDN,Cfa,46.1,34.8,19.1,5,0-30
548,covercrop_pruning,PERENNIAL,NA,7.74,38.11573029,-3.083521605,13,MDS,BSk,NA,NA,NA,10,0-30
549,covercrop_pruning,PERENNIAL,NA,8.00,38.11573029,-3.083521605,13,MDS,BSk,NA,NA,NA,10,0-30
340,cropresid,ANNUAL,NA,0.19,37.6372222,13.71472222,13,MDS,Csa,26,16,58,12,0-30
341,cropresid,ANNUAL,NA,0.10,45.35,11.96666667,12,MDN,Cfa,47,38,15,25,0-30
344,cropresid,ANNUAL,NA,0.15,45.35,11.96666667,12,MDN,Cfa,33.8,37,29.2,20,0-30
345,cropresid,ANNUAL,NA,0.17,45.35,11.96666667,12,MDN,Cfa,33.8,37,29.2,20,0-30
346,cropresid,ANNUAL,NA,0.20,45.35,11.96666667,12,MDN,Cfa,33.8,37,29.2,28,0-30
347,cropresid,ANNUAL,NA,0.12,45.35,11.96666667,12,MDN,Cfa,33.8,37,29.2,28,0-30
357,cropresid,ANNUAL,NA,0.01,45.35,11.96666667,12,MDN,Cfa,28.6,51,20.4,43,0-30
367,cropresid,ANNUAL,NA,0.05,41.7416667,-0.771666667,13,MDS,BSk,29,48,23,90,0-20
368,cropresid,ANNUAL,NA,0.10,41.7416667,-0.771666667,13,MDS,BSk,29,48,23,90,0-20
114,grass,PERENNIAL,NA,2.10,37.6383333,-4.766944444,13,MDS,Csa,21.3,45.8,32.9,4,0-25
136,grass,PERENNIAL,NA,0.11,38.21,-3.383611111,13,MDS,BSk,NA,NA,NA,28,0-30
137,grass,PERENNIAL,NA,0.27,38.21,-3.383611111,13,MDS,BSk,NA,NA,NA,28,0-30
533,grass,PERENNIAL,98.7,0.86,41.0414078,16.7486991,12,MDN,BSk,31,30,39,35,0-40
42,grass_annuals,ANNUAL,67.5,0.93,43.7974942,11.2184714,12,MDN,Csa,NA,NA,NA,14,0-30
43,grass_annuals,ANNUAL,83.8,0.47,43.7974942,11.2184714,12,MDN,Csa,NA,NA,NA,35,0-30
44,grass_annuals,ANNUAL,NA,1.71,45.12435,9.831542,12,MDN,Cfa,53.1,34.9,12,4,0-30
45,grass_annuals,ANNUAL,NA,0.45,45.12435,9.831542,12,MDN,Cfa,53.1,34.9,12,4,0-30
46,grass_annuals,ANNUAL,NA,0.77,45.12435,9.831542,12,MDN,Cfa,53.1,34.9,12,4,0-30
47,grass_annuals,ANNUAL,NA,1.24,45.12435,9.831542,12,MDN,Cfa,53.1,34.9,12,4,0-30
49,grass_annuals,ANNUAL,NA,0.31,45.35,11.96666667,12,MDN,Cfa,28.6,51,20.4,43,0-30
53,grass_annuals,ANNUAL,NA,0.28,45.35,11.96666667,12,MDN,Cfa,28.6,51,20.4,43,0-30
550,grass_pruning,PERENNIAL,NA,1.10,40.4833333,16.46666667,13,MDS,BSk,66,20,14,15,0-30
162,grass_pruning,PERENNIAL,42.2,4.08,40.4833333,16.46666667,13,MDS,BSk,65.7,19.6,14.7,2,0-30